Id;City;Area;Street;HouseNumber;Price;Size;Rooms;Floor;NumberOfFloors;Year;Type;Heating;Furnishings;Link;UploadDate;ViewedBy;RememberedBy;ScrapeDate;Class
48E11BE4-3851-42E8-855D-190E187230DD;Kaunas;" Eiguliai";" Sukilėlių pr.";96;72000;59,57;3;4;9;1982;Blokinis;Centrinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-eiguliuose-sukileliu-pr-butas-puikioje-vietoje-salia-kauno-klinikos-1-3172384/;2022-01-20 00:00:00.0000000;2528;12;2022-02-17 01:38:15.0565060;butas
5D69AB22-EE8A-4E3C-ADEA-19AD34388895;Kaunas;" Žemieji Šančiai";" Vokiečių g.";61;62000;65;3;2;2;1935;Rąstinis;Dujinis;Įrengtas;https://www.aruodas.lt/butai-kaune-sanciuose-vokieciu-g-parduodu-buta-zsanciuose-parduodu-sviesu-1-3173404/;2022-01-23 00:00:00.0000000;3999;33;2022-02-17 01:35:01.4537970;butas
A58B3A2D-B327-48A1-B006-19BE166990FB;Kaunas;" Vilijampolė";" Varnių g.";51;39999;21;1;7;8;1970;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-vilijampoleje-varniu-g-parduodamas-tvarkingas-1-k-butas-1-3160081/;2022-02-15 00:00:00.0000000;162;51;2022-02-16 22:21:23.8675220;butas
4073D9A8-9AD0-4426-A032-19E1D2013784;Kaunas;" Dainava";" Taikos pr.";116;35280;50,4;2;1;3;2023;Kita;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-dainavoje-taikos-pr-naujas-loftu-su-lodzijomis-projektas-kaune-1-3179900/;2022-02-14 00:00:00.0000000;1240;35;2022-02-16 22:29:24.3491020;butas
994C2A58-6954-40D6-A116-19FB2FAD917E;Kaunas;" Dainava";" Pramonės pr.";30;29300;20,5;1;5;5;1975;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-1-kamb-butas-renovuotame-name-dainavoje-1-3172996/;2022-01-20 00:00:00.0000000;3452;18;2022-02-17 01:37:46.8047270;butas
C76D9072-3988-4C1B-BC21-1A1CD6E0C44C;Kaunas;" Žaliakalnis";" Tvirtovės al.";83;185000;61,77;2;4;4;2020;Mūrinis;Centrinis kolektorinis;Įrengtas;https://www.aruodas.lt/butai-kaune-zaliakalnyje-tvirtoves-al-parduodamas-butas-prestiziniame-kauno-rajone-1-3179130/;2022-02-10 00:00:00.0000000;751;10;2022-02-16 22:37:14.2153540;butas
48DFF83B-560D-4463-BC2F-1A71F967E3CD;Kaunas;" Vilijampolė";" Neries krant.";4;72900;45;2;2;5;1964;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-vilijampoleje-neries-krant-parduodamas-2-kambariu-butas-jaukus-ir-labia-1-3177422/;2022-02-05 00:00:00.0000000;2601;62;2022-02-16 22:53:12.7005910;butas
8A7CE257-683E-4FDC-BB1F-1A80DF7EC5FF;Kaunas;" Žemieji Šančiai";" A. Juozapavičiaus pr.";18;247092;83,76;3;4;16;2022;Monolitinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-sanciuose-a-juozapaviciaus-pr-nt-technologiju-ir-kokybes-simbolis-1-3169262/;2022-01-07 00:00:00.0000000;1177;2;2022-02-17 07:21:32.5093910;butas
EACC5A63-761A-4C86-9332-1AE6C3B96679;Kaunas;" Žaliakalnis";" Studentų g.";10;195432;76,4;4;2;3;2022;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-zaliakalnyje-studentu-g-pagaliau-skelbiame-taip-ilgai-lauktu-giliu-1-3177268/;2022-02-04 00:00:00.0000000;1080;10;2022-02-16 22:53:53.3168640;butas
D89C2988-9AC4-4249-A574-1B5153D87F42;Kaunas;" Petrašiūnai";" R. Kalantos g.";121;88500;52;2;2;3;1956;Mūrinis;Centrinis kolektorinis;Įrengtas;https://www.aruodas.lt/butai-kaune-petrasiunuose-r-kalantos-g-parduodamas-naujai-suremontuotas-siltas-2-ju-1-3171388/;2022-01-24 00:00:00.0000000;2507;97;2022-02-17 01:32:40.2051610;butas
